ref_area,indicator,source,sex,classif1,time,obs_value
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE25,2009,29.62
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_YGE15,2009,32.22
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_Y15-24,2009,38.63
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_YGE25,2009,30.18
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_YGE15,2009,31.3
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_Y15-24,2009,37.63
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_YGE25,2009,29.08
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2008,29.36
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_Y15-24,2008,35.85
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE25,2008,27.18
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_YGE15,2008,29.9
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_Y15-24,2008,36.39
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_YGE25,2008,27.83
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_YGE15,2008,28.84
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_Y15-24,2008,35.37
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_YGE25,2008,26.53
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2007,30.34
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_Y15-24,2007,36.82
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE25,2007,28.16
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_YGE15,2007,30.82
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_Y15-24,2007,37.34
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_YGE25,2007,28.73
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_YGE15,2007,29.89
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_Y15-24,2007,36.35
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_YGE25,2007,27.61
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2006,32.01
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_Y15-24,2006,38.43
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE25,2006,29.84
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_YGE15,2006,32.34
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_Y15-24,2006,38.92
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_YGE25,2006,30.24
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_YGE15,2006,31.68
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_Y15-24,2006,37.99
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_YGE25,2006,29.45
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2005,32.82
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_Y15-24,2005,39.18
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE25,2005,30.68
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_YGE15,2005,33.09
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_Y15-24,2005,39.67
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_YGE25,2005,30.99
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_YGE15,2005,32.56
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_Y15-24,2005,38.75
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_YGE25,2005,30.38
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2004,34.7
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_Y15-24,2004,40.95
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE25,2004,32.6
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_YGE15,2004,34.82
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_Y15-24,2004,41.42
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_YGE25,2004,32.72
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_YGE15,2004,34.58
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_Y15-24,2004,40.52
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_YGE25,2004,32.49
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2003,34.83
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_Y15-24,2003,41.08
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE25,2003,32.73
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_YGE15,2003,34.93
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_Y15-24,2003,41.57
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_YGE25,2003,32.81
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_YGE15,2003,34.73
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_Y15-24,2003,40.65
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_YGE25,2003,32.66
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2002,32.13
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_Y15-24,2002,38.65
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE25,2002,29.96
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_YGE15,2002,32.35
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_Y15-24,2002,39.16
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_YGE25,2002,30.19
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_YGE15,2002,31.92
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_Y15-24,2002,38.19
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_YGE25,2002,29.73
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2001,33.7
