Continent,Region,country,country_code,criminality,criminal_markets,human_trafficking,human_smuggling,arms_trafficking,flora_crimes,fauna_crimes,non_renewables_crimes,heroin_trade,cocaine_trade,cannabis_trade,synthetic_drug_trade,criminal_actors,mafia_style_groups,criminal_networks,state_embedded_actors,foreign_actors,resilience,political_leadership_governance,government_transparency_accountability,international_cooperation,national_policies_laws,Judicial_system_and_detention,law_enforcement,terroitorial_integrity,anti_money_laundering,economic_regulatory_capacity,victim_witness_support,prevention,non_state_actors
Africa,Central Africa,Chad,TCD,5.8625,5.35,7.0,7.0,8.0,1.5,3.5,7.0,2.0,4.5,6.0,7.0,6.375,5.5,6.5,8.5,5.0,2.4583333333333335,3.5,2.5,5.0,2.5,2.0,2.5,3.5,2.0,2.0,1.0,1.0,2.0
Americas,South America,Chile,CHL,4.6,4.45,4.0,4.5,5.5,4.0,4.5,2.0,2.0,7.0,6.5,4.5,4.75,4.0,5.5,4.5,5.0,6.416666666666667,7.0,7.0,8.0,6.0,6.0,4.0,4.0,6.5,7.0,7.0,6.5,8.0
Asia,Eastern Asia,China,CHN,6.0125,5.9,6.5,6.0,2.5,8.5,9.0,4.5,6.5,3.5,4.0,8.0,6.125,7.0,7.5,7.0,3.0,5.458333333333333,6.0,4.0,6.0,7.0,5.0,5.5,7.0,6.0,7.0,4.0,6.0,2.0
Americas,South America,Colombia,COL,7.6625,7.2,7.5,7.0,8.0,6.0,7.0,9.0,5.0,9.5,8.0,5.0,8.125,9.5,9.0,7.0,7.0,5.833333333333333,7.0,5.5,9.0,7.0,5.5,6.0,4.5,6.0,5.0,3.5,4.5,6.5
Africa,Southern Africa,Comoros,COM,3.8625,3.85,5.0,5.5,3.5,3.0,5.5,1.0,4.0,2.0,3.0,6.0,3.875,1.0,4.5,6.0,4.0,2.375,2.0,2.0,3.0,2.5,2.0,2.0,3.0,4.0,3.0,1.5,1.5,2.0
Africa,Central Africa,"Congo, Dem. Rep.",COD,7.75,6.5,7.0,5.5,9.0,8.5,8.0,9.0,4.0,4.5,7.0,2.5,9.0,9.0,9.0,9.0,9.0,2.2916666666666665,1.0,1.0,4.0,3.0,2.5,1.5,2.0,2.0,1.5,2.0,2.0,5.0
Africa,Central Africa,"Congo, Rep.",COG,5.025,4.8,6.5,4.5,5.0,8.0,7.0,3.5,2.5,5.0,4.0,2.0,5.25,3.0,6.0,8.0,4.0,3.25,3.0,1.5,5.0,5.0,2.0,4.5,3.0,3.0,3.0,2.0,4.0,3.0
Americas,Central America,Costa Rica,CRI,4.9875,4.85,5.0,5.0,5.0,5.0,6.0,6.5,1.0,7.0,4.5,3.5,5.125,6.5,6.0,1.5,6.5,5.5,7.0,6.5,6.0,6.5,5.0,5.0,5.0,4.0,4.5,5.0,5.0,6.5
Africa,West Africa,Côte d'Ivoire,CIV,6.15,6.05,6.5,6.5,7.0,6.0,6.5,7.5,3.5,5.0,6.0,6.0,6.25,3.0,7.0,7.0,8.0,4.416666666666667,4.5,4.0,6.0,4.5,5.5,5.0,4.0,5.0,3.5,3.5,3.0,4.5
Europe,Central & Eastern Europe,Croatia,HRV,5.0625,4.75,4.5,6.0,3.5,5.0,2.5,4.5,5.0,5.5,5.5,5.5,5.375,4.0,6.5,6.5,4.5,5.583333333333333,5.0,5.5,6.5,6.0,5.0,6.0,6.5,6.5,4.5,5.5,5.0,5.0
