country,population,region,est_modern_slavery_per_1000_population,est_people_in_modern_slavery,governance_issues,lack_of_basic_needs,inequality,disenfranchised_groups,effects_of_conflict,total_vulnerability_score_percent,slavery_survivors_remain_out_of_slavery_percent,criminal_justice_prevents_modern_slavery_percent,government_coordination_and_response_accountability_percent,social_risks_address_modern_slavery_percent,government_and_businesses_dont_source_forced_labor_percent,total_government_response_percent
Croatia,4105000,Europe and Central Asia,5.243167400360107,22000,31.13690318169392,33.37016129612128,30.68803807851969,56.31833945328437,15.23260202250707,29.538748428724,59.09090805053711,65.38461303710938,75,64.28571319580078,12.5,58.97435760498047
Cuba,11327000,Americas,5.406132221221924,61000,55.51535965229694,34.96237081876887,37.1847250061434,44.71113831089351,20.39742332974894,42.7427347153312,27.27272796630859,38.46154022216797,50,28.5714282989502,0,30.76922988891602
Cyprus,1207000,Europe and Central Asia,8.044442176818848,10000,17.47622891826022,23.96336573038255,32.54256944471435,53.99653202774378,26.15855671847907,21.32731000402713,63.6363639831543,61.53845977783203,62.5,57.14285659790039,25,57.69230651855469
Czechia,10709000,Europe and Central Asia,4.240109443664551,45000,13.59838275332678,19.91516914867265,23.67323072613932,48.27297021623827,14.74065357893896,12.54070674503732,59.09090805053711,61.53845977783203,87.5,57.14285659790039,25,58.97435760498047
Democratic Republic of the Congo,89561000,Africa,4.547229290008545,407000,83.63261798601697,63.99383089479323,67.17587624254557,76.08720930232559,91.63271295497275,93.9707444032815,31.81818199157715,42.30769348144531,50,35.71428680419922,12.5,35.89743423461914
Denmark,5792000,Europe and Central Asia,0.6420400738716125,4000,11.82608222565484,22.24641177528263,15.77448595447286,17.53674010607915,23.68943462368133,5.730842414973912,63.6363639831543,65.38461303710938,75,64.28571319580078,25,61.53845977783203
Djibouti,988000,Africa,7.135610103607178,7000,61.91677157905247,57.74089834270415,33.675,74.5265673874609,10.43026082146022,57.22944943385414,40.90909194946289,46.15384674072266,37.5,28.5714282989502,0,35.89743423461914
Dominican Republic,10848000,Americas,6.632640838623047,72000,38.68501088150135,37.97826368043231,52.54301446311848,61.65361077111383,12.59953439761466,40.7564368960251,31.81818199157715,61.53845977783203,62.5,57.14285659790039,0,46.15384674072266
Ecuador,17643000,Americas,7.63454008102417,135000,49.3226721683995,37.77017593430981,51.51659390160319,60.84649122807017,25.63853055413283,48.22622081398305,50,57.69230651855469,62.5,57.14285659790039,12.5,51.28205108642578
Egypt,102334000,Africa,4.315521240234375,442000,56.12702557180575,39.11868871442912,38.36054420368652,83.38788249694002,52.60773777644039,58.9061160218451,54.54545593261719,42.30769348144531,37.5,57.14285659790039,0,43.58974456787109
El Salvador,6486000,Americas,8.082976341247559,52000,54.29084408273552,33.51773568130435,67.14129765053303,61.9593023255814,21.25670817484967,52.47724165430058,45.45454406738281,57.69230651855469,50,42.85714340209961,0,44.87179565429688
Equatorial Guinea,1403000,Africa,7.812037944793701,11000,72.81091546404264,60.4962717045984,55.43488145650552,77.25410910998426,7.168546590358336,68.87411981435966,27.27272796630859,26.92307662963867,25,14.2857141494751,0,21.79487228393555
Eritrea,3546000,Africa,90.28486633300781,320000,66.18913387002264,60.0466158723253,46.1581375333964,76.92701764100173,21.45218536870288,65.7164279135385,-4.545454502105713,23.07692337036133,25,-21.4285717010498,0,5.128205299377441
Estonia,1327000,Europe and Central Asia,4.113351345062256,5000,16.07526759259747,17.52642648368795,25.03614524269207,50.20716034271726,23.2163786979918,15.34476157802643,59.09090805053711,46.15384674072266,75,78.57142639160156,25,56.41025543212891
Eswatini,1160000,Africa,3.604331970214844,4000,71.28015573358302,52.1110425083366,38.68367118888889,70.95654834761322,3.750631234066919,59.38274135854581,27.27272796630859,38.46154022216797,50,57.14285659790039,0,35.89743423461914
Ethiopia,114964000,Africa,6.31956148147583,727000,53.65706146601519,58.94671357080847,41.16281791366781,79.05942472460221,70.01793720158469,67.22511824075579,40.90909194946289,53.84615325927734,50,57.14285659790039,0,44.87179565429688
Fiji,896000,Asia and the Pacific,,,,,,,,,50,50,37.5,64.28571319580078,0,46.15384674072266
Finland,5541000,Europe and Central Asia,1.412570953369141,8000,11.8845063204236,21.00941878932797,11.68264384268699,24.31831905344757,21.55060952479973,5.416905107345813,54.54545593261719,61.53845977783203,87.5,71.42857360839844,25,60.25640869140625
France,65274000,Europe and Central Asia,2.061271667480469,135000,10.50455874436142,20.56716762079184,28.08570021125691,32.96884944920441,37.64338231648313,13.25262384676886,40.90909194946289,80.76923370361328,87.5,57.14285659790039,37.5,61.53845977783203
Gabon,2226000,Africa,7.609169483184814,17000,61.56153527297464,51.80754774173926,50.5749472385498,69.3812729498164,15.87788882516118,58.98436584009715,27.27272796630859,30.76922988891602,25,21.4285717010498,0,24.35897445678711
Gambia,2417000,Africa,6.546003341674805,16000,65.43706473701126,51.08239086352804,40.70707715555556,65.18145654834761,15.91187815417463,57.54879669703229,22.72727203369141,57.69230651855469,25,42.85714340209961,0,35.89743423461914
Georgia,3989000,Europe and Central Asia,7.793662071228027,31000,39.72281716567255,27.32885393746609,34.21026533481852,68.46201550387597,28.7427499567261,37.89671735119825,68.18181610107422,65.38461303710938,75,71.42857360839844,0,61.53845977783203
Germany,83784000,Europe and Central Asia,0.5649979114532471,47000,12.80268237746063,21.52630913880158,25.45740001987,18.39210526315789,35.44177660053809,10.65647740958336,50,80.76923370361328,62.5,57.14285659790039,37.5,61.53845977783203
Ghana,31073000,Africa,2.932558059692383,91000,42.56810382310157,43.87081516187706,46.66325402072346,62.03365973072216,21.33235155660341,45.05815546676001,45.45454406738281,53.84615325927734,62.5,35.71428680419922,12.5,44.87179565429688
Greece,10423000,Europe and Central Asia,6.368064880371094,66000,17.26291742186766,22.27445116333572,31.64321098308918,51.65871073031416,31.20256565292679,20.89470876680199,68.18181610107422,61.53845977783203,75,64.28571319580078,25,61.53845977783203
Guatemala,17916000,Americas,7.820735931396484,140000,54.12695995175177,41.74003523110245,67.79744485232749,65.30385556915544,28.57291446951291,57.35570497341147,59.09090805053711,50,62.5,42.85714340209961,0,47.43589782714844
Guinea,13133000,Africa,4.023453235626221,53000,74.9363301669151,45.51705703262237,50.36357685557047,73.59761321909426,20.77666377711456,65.57711372844109,36.3636360168457,50,37.5,28.5714282989502,0,35.89743423461914
Guinea-Bissau,1968000,Africa,4.495571136474609,9000,82.87237061282242,75.40325553389134,62.975,70.21602334324182,11.04438866183143,80.0575807109044,31.81818199157715,34.61538314819336,25,57.14285659790039,0,33.33333206176758
Guyana,787000,Americas,4.188868522644043,3000,45.37737207362137,23.70765995891794,61.2924087657316,61.3281255464242,9.961719824818184,40.97456782269074,50,65.38461303710938,62.5,50,0,51.28205108642578
Haiti,11403000,Americas,8.21799087524414,94000,62.27720949373339,58.40857489821561,54.41757049581706,76.08720930232559,29.30029624593179,66.38134261556087,40.90909194946289,38.46154022216797,37.5,50,0,37.17948532104492
Honduras,9905000,Americas,6.95623779296875,69000,65.5059750376441,41.49074126129392,65.66151683179525,57.8266829865361,33.39274895433591,61.9891303997632,45.45454406738281,53.84615325927734,50,64.28571319580078,0,47.43589782714844
Hong Kong,7497000,Asia and the Pacific,2.762860774993896,21000,40.01804614556188,20.24095609239117,18.735960800708,63.38157894736842,13.97411148144072,28.2149097296573,27.27272796630859,34.61538314819336,37.5,50,0,32.0512809753418
Hungary,9660000,Europe and Central Asia,6.565171718597412,63000,20.02203909100847,19.7111035900042,28.89613960474446,59.48208894328845,12.22191303802604,18.92211530903652,50,57.69230651855469,62.5,71.42857360839844,25,55.12820434570313
Iceland,341000,Europe and Central Asia,,,,,,,,,54.54545593261719,50,37.5,50,25,47.43589782714844
