country,country_code,indicator_name,indicator_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
North Macedonia,MKD,Gini index,SI.POV.GINI,,,,,,,,,,42.8,40.2,39.4,38.1,36.2,35.2,35.6,34.5,34.2,33.0,33.5,,,
Mali,MLI,Gini index,SI.POV.GINI,,39.9,,,,,38.9,,,33.0,,,,,,,,,36.1,,,,
Malta,MLT,Gini index,SI.POV.GINI,,,,,,,28.0,29.2,29.0,30.2,29.0,29.1,29.4,28.8,29.0,29.4,29.1,29.2,28.7,31.0,31.4,,
Montenegro,MNE,Gini index,SI.POV.GINI,,,,,,,,,,,,,41.2,39.0,38.8,39.0,38.5,36.9,36.8,,,,
Mongolia,MNG,Gini index,SI.POV.GINI,,,32.9,,,,,35.8,,,33.1,33.9,33.8,,32.0,,32.3,,32.7,,,,
Mauritania,MRT,Gini index,SI.POV.GINI,39.0,,,,40.2,,,,35.7,,,,,,32.6,,,,,,,,
Malawi,MWI,Gini index,SI.POV.GINI,,,,,39.9,,,,,,45.5,,,,,,44.7,,,38.5,,,
Malaysia,MYS,Gini index,SI.POV.GINI,,,,46.4,,,44.8,,45.5,,,43.9,,41.3,,41.1,,,41.2,,,,
Niger,NER,Gini index,SI.POV.GINI,,,,,,44.4,,37.3,,,,31.5,,,34.3,,,,37.3,,,,
Nigeria,NGA,Gini index,SI.POV.GINI,,,,40.1,,,,,,,35.7,,35.5,,,35.9,,,35.1,,,,
Nicaragua,NIC,Gini index,SI.POV.GINI,,52.9,,,,48.8,,,,43.9,,,,,46.2,,,,,,,,
Netherlands,NLD,Gini index,SI.POV.GINI,,,,,29.8,29.0,30.0,29.6,29.3,27.9,27.8,27.8,27.6,28.1,28.6,28.2,28.2,28.5,28.1,29.2,26.0,,
Norway,NOR,Gini index,SI.POV.GINI,27.4,,,27.6,31.6,30.6,26.4,27.1,27.0,26.2,25.7,25.3,25.7,26.4,26.8,27.5,28.5,27.0,27.6,27.7,,,
Pakistan,PAK,Gini index,SI.POV.GINI,,28.7,,,30.9,31.3,,29.7,,,28.8,29.7,,29.5,,31.3,,,29.6,,,,
Panama,PAN,Gini index,SI.POV.GINI,56.6,56.7,56.1,55.7,54.8,53.8,54.6,52.7,52.7,51.8,51.6,51.3,51.7,51.5,50.5,50.8,50.4,49.9,49.2,49.8,,50.9,
Peru,PER,Gini index,SI.POV.GINI,49.1,51.3,53.6,53.1,49.9,50.5,50.3,50.0,47.5,47.0,45.5,44.7,44.4,43.9,43.1,43.4,43.6,43.3,42.4,41.6,43.8,40.2,
Philippines,PHL,Gini index,SI.POV.GINI,47.7,,,46.6,,,47.2,,,46.3,,,46.5,,,44.6,,,42.3,,,40.7,
Poland,POL,Gini index,SI.POV.GINI,,,,,38.0,35.8,34.7,34.0,33.5,33.4,33.2,33.2,33.0,33.1,32.8,31.8,31.2,29.7,30.2,28.8,,,
Portugal,PRT,Gini index,SI.POV.GINI,,,,38.8,38.9,38.5,38.1,36.8,36.6,34.9,35.8,36.3,36.0,36.2,35.6,35.5,35.2,33.8,33.5,32.8,34.7,,
Paraguay,PRY,Gini index,SI.POV.GINI,,54.6,57.3,54.9,52.3,51.4,53.0,53.0,50.7,49.1,51.0,52.3,47.6,47.9,50.7,47.6,47.9,48.5,46.0,45.7,43.5,42.9,
West Bank and Gaza,PSE,Gini index,SI.POV.GINI,,,,,34.0,34.7,34.0,35.6,,34.5,35.3,34.4,,,,,33.7,,,,,,
Romania,ROU,Gini index,SI.POV.GINI,,,,,,,39.6,37.5,36.4,35.6,35.5,35.9,36.5,36.9,36.0,35.9,34.4,36.0,35.8,34.8,34.6,,
Russian Federation,RUS,Gini index,SI.POV.GINI,37.1,36.9,37.3,40.0,40.3,41.3,41.0,42.3,41.6,39.8,39.5,39.7,40.7,40.9,39.9,37.7,36.8,37.2,37.5,37.7,36.0,,
Rwanda,RWA,Gini index,SI.POV.GINI,48.5,,,,,52.0,,,,,47.2,,,45.1,,,43.7,,,,,,
Senegal,SEN,Gini index,SI.POV.GINI,,41.2,,,,39.2,,,,,,40.3,,,,,,,38.1,,,,
El Salvador,SLV,Gini index,SI.POV.GINI,51.5,51.4,51.9,50.5,47.8,48.5,45.7,45.2,46.9,45.8,43.5,42.3,41.8,43.4,41.6,40.6,40.0,38.0,38.6,38.8,,39.0,
Serbia,SRB,Gini index,SI.POV.GINI,,,,,,,,,,,,,39.9,39.5,40.5,40.5,38.8,36.2,35.0,34.5,35.0,,
Slovak Republic,SVK,Gini index,SI.POV.GINI,,,,,27.1,29.3,25.8,24.7,26.0,27.2,27.3,26.5,26.1,28.1,26.1,26.5,25.2,23.2,25.0,23.2,,,
Slovenia,SVN,Gini index,SI.POV.GINI,,,,,24.8,24.6,24.4,24.4,23.7,24.8,24.9,24.9,25.6,26.2,25.7,25.4,24.8,24.2,24.6,24.4,24.0,,
Sweden,SWE,Gini index,SI.POV.GINI,27.2,,,25.3,26.1,26.8,26.4,27.1,28.1,27.3,27.7,27.6,27.6,28.8,28.4,29.2,29.6,28.8,30.0,29.3,28.9,,
Togo,TGO,Gini index,SI.POV.GINI,,,,,,,42.2,,,,,46.0,,,,43.1,,,42.4,,,,
Thailand,THA,Gini index,SI.POV.GINI,42.8,,41.9,,42.5,,41.8,39.8,40.3,39.6,39.4,37.5,39.3,37.8,37.0,36.0,36.9,36.5,36.4,34.9,35.0,35.1,
Tajikistan,TJK,Gini index,SI.POV.GINI,,,,32.7,33.6,,,32.2,,30.8,,,,,,34.0,,,,,,,
Tunisia,TUN,Gini index,SI.POV.GINI,40.8,,,,,37.7,,,,,35.8,,,,,32.8,,,,,,,
Turkiye,TUR,Gini index,SI.POV.GINI,,,41.4,42.2,41.3,42.6,39.6,38.4,39.0,39.0,38.8,40.0,40.2,40.2,41.2,42.9,41.9,41.4,41.9,41.9,,,
Tanzania,TZA,Gini index,SI.POV.GINI,37.3,,,,,,,40.3,,,,37.8,,,,,,,40.5,,,,
Uganda,UGA,Gini index,SI.POV.GINI,,,45.2,,,42.9,,,,44.2,,,41.0,,,,42.8,,,42.7,,,
Ukraine,UKR,Gini index,SI.POV.GINI,,,29.0,28.7,28.9,29.0,29.8,27.0,26.6,25.3,24.8,24.6,24.7,24.6,24.0,25.5,25.0,26.0,26.1,26.6,25.6,,
Uruguay,URY,Gini index,SI.POV.GINI,,,,,,,45.9,46.4,45.1,45.5,44.5,42.2,39.9,40.5,40.1,40.1,39.7,39.5,39.7,39.7,40.2,40.8,
United States,USA,Gini index,SI.POV.GINI,40.1,40.6,40.4,40.8,40.3,41.0,41.4,40.8,40.8,40.6,40.0,40.9,40.9,40.7,41.5,41.2,41.1,41.2,41.4,41.5,39.7,,
Vietnam,VNM,Gini index,SI.POV.GINI,,,37.0,,36.8,,35.8,,35.6,,39.3,,35.6,,34.8,,35.3,,35.7,,36.8,,
Kosovo,XKX,Gini index,SI.POV.GINI,,,,29.0,,31.2,30.3,,,31.8,33.3,27.8,29.0,26.3,27.3,26.5,26.7,29.0,,,,,
South Africa,ZAF,Gini index,SI.POV.GINI,57.8,,,,,64.8,,,63.0,,63.4,,,,63.0,,,,,,,,
Zambia,ZMB,Gini index,SI.POV.GINI,,,42.1,,54.3,,54.6,,,,55.6,,,,,57.1,,,,,,,
